(21.5981,47.527)
(21.5982,47.5471)
(21.5986,47.5214)
(21.5987,47.5225)
(21.5988,47.5279)
(21.5988,47.5249)
(21.599,47.5277)
(21.5991,47.5179)
(21.5992,47.5191)
(21.5993,47.5254)
(21.5993,47.5449)
(21.5997,47.5154)
(21.5999,47.5652)
(21.6001,47.5141)
(21.6001,47.5644)
(21.6004,47.5349)
(21.6006,47.5557)
(21.6009,47.5556)
(21.601,47.5149)
(21.6021,47.5421)
(21.6022,47.5612)
(21.6022,47.5423)
(21.6025,47.5347)
(21.6025,47.5612)
(21.6028,47.5157)
(21.603,47.5395)
(21.6031,47.5393)
(21.604,47.538)
(21.604,47.5378)
(21.6043,47.5288)
(21.6044,47.5585)
(21.6045,47.5161)
(21.6046,47.5585)
(21.6047,47.5287)
(21.6057,47.5111)
(21.6061,47.5111)
(21.6062,47.5566)
(21.6063,47.5347)
(21.6065,47.5196)
(21.6068,47.5208)
(21.607,47.5553)
(21.6071,47.535)
(21.6073,47.5245)
(21.6074,47.5244)
(21.6074,47.5203)
(21.6075,47.5561)
(21.6075,47.5262)
(21.6079,47.5294)
(21.6079,47.5271)
(21.6082,47.5419)
(21.6083,47.5344)
(21.6084,47.5288)
(21.6089,47.5167)
(21.609,47.4915)
(21.6091,47.553)
(21.6091,47.5217)
(21.6095,47.5455)
(21.6095,47.5485)
(21.6095,47.5516)
(21.6096,47.5173)
(21.6096,47.5127)
(21.6096,47.5027)
(21.6097,47.508)
(21.6097,47.503)
(21.6098,47.5463)
(21.6098,47.5427)
(21.6098,47.508)
(21.6098,47.5496)
(21.6098,47.5411)
(21.6101,47.5059)
(21.6101,47.506)
(21.6102,47.5295)
(21.6102,47.5129)
(21.6105,47.557)
(21.6106,47.5391)
(21.6106,47.5344)
(21.6107,47.5226)
(21.6109,47.5)
(21.611,47.5572)
(21.6112,47.5576)
(21.6112,47.5381)
(21.6113,47.5415)
(21.6116,47.5337)
(21.6117,47.5333)
(21.612,47.5361)
(21.6125,47.5293)
(21.6126,47.5192)
(21.6126,47.5416)
(21.6127,47.5286)
(21.6127,47.5289)
(21.6128,47.5341)
(21.6129,47.5548)
(21.613,47.5244)
(21.6131,47.5289)
(21.6133,47.5287)
(21.6137,47.5557)
(21.6138,47.5567)
(21.6139,47.5096)
(21.614,47.5487)
(21.614,47.5248)
(21.6141,47.5097)
(21.6142,47.5287)
(21.6142,47.5198)
(21.6148,47.5298)
(21.6151,47.5557)
(21.6151,47.5483)
(21.6156,47.5491)
(21.6156,47.5568)
(21.6159,47.5153)
(21.6163,47.5414)
(21.6166,47.5266)
(21.6168,47.5155)
(21.617,47.5403)
(21.6173,47.5392)
(21.6174,47.5255)
(21.6175,47.546)
(21.6175,47.5343)
(21.6176,47.5341)
(21.6176,47.542)
(21.6177,47.5099)
(21.6177,47.5355)
(21.6178,47.5459)
(21.6179,47.5303)
(21.6179,47.5219)
(21.6181,47.5353)
(21.6182,47.5265)
(21.6185,47.5226)
(21.6185,47.51)
(21.6186,47.5412)
(21.6188,47.5265)
(21.6189,47.5536)
(21.619,47.5243)
(21.6195,47.5534)
(21.6197,47.5511)
(21.6197,47.5306)
(21.6202,47.5228)
(21.6205,47.5327)
(21.6206,47.5335)
(21.6209,47.5182)
(21.6211,47.5184)
(21.6215,47.5506)
(21.6217,47.5456)
(21.6217,47.5498)
(21.6218,47.5409)
(21.6218,47.5344)
(21.6219,47.5465)
(21.6219,47.5372)
(21.622,47.528)
(21.622,47.5421)
(21.6221,47.5385)
(21.6228,47.5346)
(21.6228,47.5105)
(21.6228,47.5217)
(21.623,47.5416)
(21.6231,47.5613)
(21.6233,47.5612)
(21.6235,47.5108)
(21.6236,47.5415)
(21.6238,47.5534)
(21.6249,47.5259)
(21.6249,47.5216)
(21.6255,47.5283)
(21.6261,47.5277)
(21.6262,47.5054)
(21.6264,47.5056)
(21.6267,47.523)
(21.6269,47.5343)
(21.6269,47.5235)
(21.6271,47.5211)
(21.6272,47.5112)
